Unique_ contact_lead_title,Unique_ title_seniority,Unique_ title_function
CMM Programmer,,
Director QA and R and D,,
Principal Program Manager,,
Go-to Person Empower,,
QA Regulatory Affairs Associate,,
Gerente de Planta,,
"Director, Quality and Regulatory Affaires Department, General Manufacturing and Sales Manager Director",,
Site Leader and Manager Operations (WSMI),,
Directeur Des OpÃ©rations,,
COO and Co-Founder,,
Business Administrator,,
QHSE Engineer,,
"Global Manager, Application",,
"Manager, Pharma Logistics",,
"Manager, User Research",,
Investment Banking Associate,,
QM Coordinator,,
Head Of Systems,,
Expert Scientist-Technical Performance and Modeling,,
Senior Electrical Engineer II-Components,,
"Product Manager, Skin Cancer",,
"Manager, Operations and Engineering",,
Software Developer,,
Senior Manufacturing and Process Development Scientist,,
å‰¯ä¸»å¹¹,,
Principal Quality Systems Specialist,,
"Clinical Drug Product, QA",,
Expert Platform,,
æ©Ÿé›»äº‹æ¥­æœ¬éƒ¨ å—é–¢æ±ã‚¨ãƒªã‚¢ æ¨ªæµœæ”¯åº—,,
"Senior Director, Business Transformation",,
Lead Internal Auditor,,
Co-Founder and Director,,
Project Manager of the General Management,,
QS Assistant Manager,,
Eclipse Orthopaedics Co-op Engineer,,
Information Systems Consultant,,
Private Equity Due Diligence Consulting Associate,,
Senior QA Assistant,,
InÅ¼Ynier JakoÅ›Ci,,
å“è³ªä¿è¨¼æœ¬éƒ¨,,
"Director, Quality and Qmb",,
Global Human Resources Business Partner,,
"Product Manager, Core Services",,
Melik,,
"Vice President, Programs",,
Manager QualitÃ¤t Und Umwelt,,
QA Manager / Responsible Person,,
USP Council of Experts: Expert Volunteer (Small Molecules),,
"Vice President, Global Technical Operations & Quality Head of Operational Excellence",,
Manager - Purchase,,
Facilities Supervisor,,
Head of Enterprise Applications,,
Senior Vice President Global Operations,,
Head of Sterile Manufacturing,,
Restricted Information and Basic Personal Data,,
Quality Complaints and SMS Engineer,,
Customer Service,,
Network Security Specialist,,
Mergers and Acquisitions Consulting Intern,,
"Vice President, Quality and Technical Services",,
Head of Research,,
INT and Gdp Rp Head of Quality Management,,
Enterprise and Digital IT Lead,,
Controls Technician,,
Course Instructor,,
"Manager, Project Purchasing",,
Manager Integrasi Sistem Mutu,,
"Customer Success, East Japan Customer Support",,
"Assistant Manager, AQA",,
"Supervisor, Quality System and Compliance",,
QA Senior Research Associate,,
"Strategy and Business Operations Innovation Senior Manager, Global Quality",,
Senior Manager-CQA,,
Director at NSF International,,
QA Leader,,
Accounts Payable,,
Quality Control Associate,,
Customer Care Partner,,
"Research Scientist III and Associate Manufacturing, Gmp Clinical Cell Therapy Senior Lead",,
Chief Officer Human Resources,,
Founder and CEO. Mortgage Loan Originator NMLS 21579,,
NetSuite consultant,,
Digital Architect,,
"Manager, Product Quality Engineering Software",,
Design Assurance Engineer,,
Growth and Strategy,,
"Manager, Information Technology Customer Support",,
"Senior Vice President, Data Strategy and Analytics",,
Projektmanagerin Digitalisierung QualitÃ¤tsmanagement,,
Research Staff Engineer,,
Senior Business Development Manager,,
Exception Management Specialist,,
0231 Senior Quality Engineer,,
Site Audit Host,,
QA Associate III,,
"Vice President, Sales and Operations",,
"CEO, Life Sciences Division",,
Senior Corporate QA Assessor,,
"Director, Quality Business Partner, Global Research and Development Quality and Compliance",,
Quality Systems Engineer II,,
"Head Senior Manager, Life Cycle Management and Sustaining Products Organization (Spo)",,
"General Manager, Quality Assurance (External Manufacturing)",,
International Coordinator Sales,,
Director of Synthesis Clinic,,
Occupational Health and Safety Specialist,,
"IT Portfolio Manager and Manager, Business Systems",,
Solution Analyst,,
Global Process Manager/MES Project Manager,,
IT Functional Architect Manufacturing,,
Learning Consultant. Professional Services,,
Senior Specialist Agriculture,,
Manufacturing Process Engineer I,,
Certified Pre Owned Manager,,
Business Development Operational Manager,,
Manufacturing Operations and Compliance Head,,
Engneering Associate,,
Medical Advisor,,
"Manager, Corporate Facilities",,
Reproductive Immunologist,,
Director of  Regulatory & Quality Assurance,,
Continuous Improvement Engineer,,
Senior Maintenance Engineer,,
"Health, Safety, Environment Senior Director, Quality (Americas)",,
Site Director,,
Compliance Analyst,,
Director Global Quality and Regulatory Affairs,,
"Director, Sensing and Separations Technologies",,
"Manager, Hrbp",,
QA Scientist,,
"Team Leader, Quality Control",,
Principal System Engineer,,
Operations and Customer Service Executive,,
"Global CTO, Gpi Product Innovation",,
Social Services Specialist,,
Senior Quality Officer,,
Founder and CEO and Managing Director,,
Design Strategy Senior Lead,,
"Manager, Software Implementation and Validation",,
EQMS Specialist,,
Principal Embedded Software Engineer,,
"Director, Legal Operations",,
Process Engineer and Team Lead Consultant,,
Staff and Assistant,,
"Sr. Director, Operational Excellence",,
Chemist I,,
Inside Sales,,
President & CSO,,
Territory Sales Incharge,,
"Manager, Regulatory Affairs and Clinical",,
Healthcare Sector,,
Quality Sourcing,,
Senior Project Manager QA Deployment,,
"Global Manager, IoT Solutions",,
Leiter Der QualitÃ¤tseinheiten-Gesamtbetrieb,,
"Manager, Continuous Improvement and Audit",,
Architect,,
Psychotherapist,,
Business Transformation Consultant,,
Vitro Diagnostic Device Manufacturing Engineer,,
"Associate Director, Clinical Quality",,
"Senior Vice President, Pharmacy Services",,
"Manager, Maintenance",,
Manager - Operations Quality,,
Produksjonssjef Inne,,
Assistant Manager-Digitalization-Zydus Corporate,,
Programmer and Analyst,,
"FVP and, Ra, Pv, Bpm Head of Quality Assurance",,
QM Fachingenieur,,
"Manager, Law Clinic Administrative Operations",,
"Vice President, Pharmaceutical Services",,
Operations Solutions Architect,,
Senior Solution Engineer,,
"Quality Engineer and General Manager, Vw, Nissan, Ford, Bmw",,
QA and Regulatory Compliance Manager,,
"Director, Quality  & Compliance",,
Administrative Division Manager,,
"Project Manager, Q and R",,
"Market & Business Development, Product Manager",,
Executive Assisant,,
Quality Compliance Senior Specialist,,
Delivery Associate and Manager,,
"Manager, Facilities",,
"Medical Ecosystem Development, Senior Chief",,
Worldwide Healthcare Life Sciences Data and Ai Principal and Strategist,,
"Manager, Product Safety, Radiation",,
Document Control Associate,,
Senior Quality Assurance Engineer & Equipment Calibration Database Specialist,,
Technicien MÃ©trologue,,
"Director, Quality & Environment",,
"Senior Program Manager, CMC",,
External Innov and Alliance Management Senior Associate,,
Qhse Regional Head,,
"Senior Manager, Lab Operations",,
Strategic Project Manager,,
Leiter V-Shop,,
Zaccheo,,
"Manager, CAD Systems and Process",,
Head of M and A,,
Operations & Maintenance Manager,,
"Program Manager, Procurement",,
"Team Leader, Materials Characterization and Testing",,
Prosjektleder HMS Og Brekraft,,
Senior System Solution Architect,,
"Manager, Supplier Engineering",,
"Senior Manager, Office of Safety & Health  Space, Infrastructure & Administration (SpIA)",,
Quality and Patient Safety Deputy Chief,,
å–ç· å½¹,,
Senior Project Manager (PMP),,
Senior Quality Systems Specialist,,
E. V Specialist,,
Section Head,,
Supplier Quality Engineering Group Leader,,
SpÃ©cialiste-Assurance QualitÃ© Et Investigation,,
Global Quality Management System in Onepss Generalist,,
"Supervisor, Production Quality",,
"Director, Quality Assurance (Global)",,
"R&D Center, Manager",,
Engineering Department Manager,,
"Director, Systems and Information Technology",,
Quality Compliance Lead,,
Quality IT Lead,,
Implementation Services Principal,,
SHEQ Director,,
Biotech Quality Manager,,
Senior Staff Mechanical Engineer,,
Chief Operating Officer and Chief Commercial Officer,,
"Director, Quality and Organizational Excellence",,
æ±äº¬éƒ½æ¸‹è°·åŒºæ±1ä¸ç›®31-19-304å·å®¤,,
ãƒ€ã‚¤ãƒ€ãƒ³ã‚°ãƒ«ãƒ¼ãƒ—ã®ãƒ˜ãƒ«ã‚¹ã‚±ã‚¢å°‚é–€å­ä¼šç¤¾ã§ã™,,
è£½é€ èª²å…¼ç ”ç©¶é–‹ç™ºèª²,,
æ ªå¼ä¼šç¤¾æŽ˜å ´ã‚¢ãƒ‰ãƒãƒ³ã‚¹ãƒ†ã‚¯ãƒŽ,,
ã‚µã‚¤ã‚¨ãƒ³ã‚¹ãƒ“ã‚¸ãƒã‚¹æœ¬éƒ¨,,
æ ªå¼ä¼šç¤¾ãƒãƒƒã‚«ã‚¹ ãƒã‚¤ã‚ªã‚¤ãƒŽãƒ™ãƒ¼ã‚·ãƒ§ãƒ³,,
Scientific Content Design and Delivery Specialist,,
"Head Manager, Quality Assurance",,
Production Director,,
Sourcing Analyst,,
Serialization Engineer,,
Head Operational Engineering Services,,
Design Assurance Quality Engineer II,,
"Director, Ai Solutions",,
Senior Application Developer,,
Automation Technician,,
Vice President & Chief Operating Officer,,
"Manager, Creative Services",,
Business Intelligence Analyst,,
Director-Projects and Operational Excellence,,
Assuance Head of Engineering,,
"Vice President, Engineering and Operations",,
Product Care and Quality Control Lead,,
"Senior Director, Product Management",,
Marketing Quality Coordinator,,
Manufacturing Mechanical Engineer III,,
"Director, Joint Audit Program",,
Quality Assurance and Regulatory Affairs,,
Merchandiser,,
Contract Senior QA Specialist,,
"Vice President, Digital Transformation",,
BoD Member,,
"Assistant Vice President, Pharmaraw Nexusplus",,
Associate Director CMC Analytical Development and QC,,
Manufacturing Coordinator and Label Specialist,,
Life Sciences Enterprise Account Director,,
Customer Success Head of Growth,,
QMS and Compliance-QA Associate,,
Senior Director and Global Head of Strategic Alliances,,
Human Resource Generalist,,
Gerente de Recursos Humanos,,
"Director, Discovery Pieline",,
"Regulatory and Compliance Specialist, QA",,
"Senior Technician, Reagent Formulations",,
Purchasing Specialist,,
"Senior Director, Advocacy Campaigns",,
IT for MC system,,
"Global Research & , Vice President Development Lead",,
At Ramboll Head of Quality Management,,
"Head of Finance, Information Technology",,
Leiter Supply Chain Management,,
"Global Category Manager, Procurement",,
Quality Control Microbiologist,,
"Manager, Environmental Compliance",,
Chief Estimator,,
Ingegnere,,
Head of Business Insights and Analytics-Business Operations and Strategy,,
Director Patient Excellence Digital Strategy and Solutions,,
IT Service Delivery Lead,,
"Vice President Operations, Site Lead",,
Human Resources Manager,,
Global Validation Engineer,,
AnlagenfÃ¼hrer Compound Forex,,
MC,,
Director of Systems Operations,,
"Director, Research Development",,
Quality Support Head of Engineering,,
Principal Quality Engineer,,
Senior Lead Equipment Professional,,
Sr. Director QA/QMS and Regulatory,,
"Global Senior Director, Quality Assurance",,
"Vice President, Regulatory Affairs Quality Assurance",,
Bioprocess Manufacturing Director,,
Associate Scientist II,,
Directrice QualitÃ© Et Affaires RÃ©glementaires,,
Recruiting Advisor,,
QA/QC,,
Facilities and Property Lead,,
Senior Hardware Technician,,
"Global Director, Manufacturing Technology and Automation",,
"Director, Sales Operations",,
"Co-Op VMC Manufacturing Data Delivery, VMC Automation and Digital Strategy",,
Brand Director,,
"Regional Project Manager, Clinical",,
"Director, Sustaining Engineering",,
"Director, Internal Compliance & Quality Assurance",,
Quality Management,,
Research Scientist II,,
Sales Department,,
Sales and Operations,,
"Associate Director, Commercial Technical Solutions",,
Exe. Vice President Mfg Ops,,
"Head of Quality Assurance, GMP mfg",,
Business Support Assistant,,
Quality Engineering Mgr,,
Senior Medical Scientist,,
"Global Head, Laboratory Service",,
Production Cell Manufacturing Scientist II,,
Research Compliance Analyst,,
Associate Director FSQA,,
Project Manager III,,
"Manager IV, Analytical Chem and Laboratory",,
R&D Manager and Quality Manager,,
"Director, European of Process Technology",,
"Manager, Strategic Improvement",,
"Deputy Responsible Person, Quality Department (Directora TÃ©cnica FarmacÃ©utica Suplente)",,
"Manager, Quality Assurance, Tokushima Plant",,
Quality Control Technician,,
"Content Manager Development, Training",,
Envista Business Systems for Technology Leader (Ebsl LEAN),,
"Customer Relationship, FDA at Deloitte Executive",,
Vice President Quality Compliance,,
"Management Office Manager, Technology Project",,
'-,,
Driector of Quality and Regularoty Affairs,,
"Sr. Director, QMS, Validation and Metrology",,
"Compliance Vice President, Quality Systems",,
Director of Research and Development,,
Senior Manager of Quality Systems,,
"QA Manager, Auditing Program",,
Quality Program Manager,,
QHSE Systems Support Coordinator,,
Document Control / Training Mgr,,
Vice President Regulatory Affairs,,
Assistant Pmls,,
ABB,,
Quality Reviewer,,
Mr David Summers,,
"Manager, QA Disposition",,
Associate Director Quality Management and GxP Systems,,
